title,Unnamed: 0,Desc,Unnamed: 0.1,author,genre,image_link,rating,bookID,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,Unnamed: 12
1984,1204,"Among the seminal texts of the 20th century, Nineteen Eighty-Four is a rare work that grows more haunting as its futuristic purgatory becomes more real. Published in 1949, the book offers political satirist George Orwell's nightmarish vision of a totalitarian, bureaucratic world and one poor stiff's attempt to find individuality. The brilliance of the novel is Orwell's prescience of modern life—the ubiquity of television, the distortion of the language—and his ability to construct such a thorough version of hell. Required reading for students since it was published, it ranks among the most terrifying novels ever written.",,George Orwell,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532714506l/40961427._SX318_.jpg,4.18,5477,George Orwell/Erich Fromm,4.18,451516753,9.78E+12,eng,268,1322,121,07-01-1981,Signet Classics,
A Christmas Carol,1370,"'If I had my way, every idiot who goes around with Merry Christmas on his lips, would be boiled with his own pudding, and buried with a stake of holly through his heart. Merry Christmas? Bah humbug!'Introduction and Afterword by Joe WheelerTo bitter, miserly Ebenezer Scrooge, Christmas is just another day. But all that changes when the ghost of his long-dead business partner appears, warning Scrooge to change his ways before it's too late. Part of the Focus on the Family Great Stories collection, this edition features an in-depth introduction and discussion questions by Joe Wheeler to provide greater understanding for today's reader. ""A Christmas Carol"" captures the heart of the holidays like no other novel.",,Charles Dickens,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406512317l/5326.jpg,4.05,5327,Charles Dickens/P.J. Lynch,4.05,763631205,9.78E+12,en-CA,160,4359,353,09-12-2006,Candlewick Press,
A Clockwork Orange,1344,"In Anthony Burgess’s influential nightmare vision of the future, where the criminals take over after dark, the story is told by the central character, Alex, a teen who talks in a fantastically inventive slang that evocatively renders his and his friends’ intense reaction against their society. Dazzling and transgressive, A Clockwork Orange is a frightening fable about good and evil and the meaning of human freedom. This edition includes the controversial last chapter not published in the first edition, and Burgess’s introduction, “A Clockwork Orange Resucked.”",,Anthony Burgess,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549260060l/41817486.jpg,3.99,8810,Anthony Burgess/Blake Morrison,3.99,141182601,9.78E+12,eng,159,5366,524,2/24/2000,Penguin Classics,
A Confederacy of Dunces,1422,"Alternate cover for this ISBN can be found here""A green hunting cap squeezed the top of the fleshy balloon of a head. The green earflaps, full of large ears and uncut hair and the fine bristles that grew in the ears themselves, stuck out on either side like turn signals indicating two directions at once. Full, pursed lips protruded beneath the bushy black moustache and, at their corners, sank into little folds filled with disapproval and potato chip crumbs.""Meet Ignatius J. Reilly, the hero of John Kennedy Toole's tragicomic tale, A Confederacy of Dunces. This 30-year-old medievalist lives at home with his mother in New Orleans, pens his magnum opus on Big Chief writing pads he keeps hidden under his bed, and relays to anyone who will listen the traumatic experience he once had on a Greyhound Scenicruiser bound for Baton Rouge. (""Speeding along in that bus was like hurtling into the abyss."") But Ignatius's quiet life of tyrannizing his mother and writing his endless comparative history screeches to a halt when he is almost arrested by the overeager Patrolman Mancuso--who mistakes him for a vagrant--and then involved in a car accident with his tipsy mother behind the wheel. One thing leads to another, and before he knows it, Ignatius is out pounding the pavement in search of a job.Over the next several hundred pages, our hero stumbles from one adventure to the next. His stint as a hotdog vendor is less than successful, and he soon turns his employers at the Levy Pants Company on their heads. Ignatius's path through the working world is populated by marvelous secondary characters: the stripper Darlene and her talented cockatoo; the septuagenarian secretary Miss Trixie, whose desperate attempts to retire are constantly, comically thwarted; gay blade Dorian Greene; sinister Miss Lee, proprietor of the Night of Joy nightclub; and Myrna Minkoff, the girl Ignatius loves to hate. The many subplots that weave through A Confederacy of Dunces are as complicated as anything you'll find in a Dickens novel, and just as beautifully tied together in the end. But it is Ignatius--selfish, domineering, and deluded, tragic and comic and larger than life--who carries the story. He is a modern-day Quixote beset by giants of the modern age. His fragility cracks the shell of comic bluster, revealing a deep streak of melancholy beneath the antic humor. John Kennedy Toole committed suicide in 1969 and never saw the publication of his novel. Ignatius Reilly is what he left behind, a fitting memorial to a talented and tormented life.",,John Kennedy Toole,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562554946l/310612._SY475_.jpg,3.89,24922,John Kennedy Toole,3.89,140282688,9.78E+12,eng,397,540,47,2/26/2003,Penguin Books  Limited (UK),
A Farewell to Arms,1446,"A Farewell to Arms is the unforgettable story of an American ambulance driver on the Italian front and his passion for a beautiful English nurse. Set against the looming horrors of the battlefield - the weary, demoralized men marching in the rain during the German attack on Caporetto; the profound struggle between loyalty and desertion—this gripping, semiautobiographical work captures the harsh realities of war and the pain of lovers caught in its inexorable sweep. Ernest Hemingway famously said that he rewrote his ending to A Farewell to Arms thirty-nine times to get the words right.",,Ernest Hemingway,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1313714836l/10799.jpg,3.8,10796,Ernest Hemingway/John Slattery,3.8,743564375,9.78E+12,eng,8,290,65,05-01-2006,Simon  Schuster Audio,
A Fine Balance,1791,"With a compassionate realism and narrative sweep that recall the work of Charles Dickens, this magnificent novel captures all the cruelty and corruption, dignity and heroism, of India. The time is 1975. The place is an unnamed city by the sea. The government has just declared a State of Emergency, in whose upheavals four strangers--a spirited widow, a young student uprooted from his idyllic hill station, and two tailors who have fled the caste violence of their native village--will be thrust together, forced to share one cramped apartment and an uncertain future. As the characters move from distrust to friendship and from friendship to love, A Fine Balance creates an enduring panorama of the human spirit in an inhuman state.",,Rohinton Mistry,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551173390l/5211._SY475_.jpg,4.36,5211,Rohinton Mistry,4.36,140003065X,9.78E+12,eng,603,112196,7546,11/30/2001,Vintage,
A Heartbreaking Work of Staggering Genius,1972,"'When you read his extraordinary memoir you don't laugh, then cry, then laugh again; you somehow experience these emotions all at once.'""Well, this was when Bill was sighing a lot. He had decided that after our parents died he just didn't want any more fighting between what was left of us. He was twenty-four, Beth was twenty-three, I was twenty-one, Toph was eight, and all of us were so tried already, from that winter. So when something would come up, any little thing, some bill to pay or decision to make, he would just sigh, his eyes tired, his mouth in a sorry kind of smile. But Beth and I...Jesus, we were fighting with everyone, anyone, each other, with strangers at bars, anywhere -- we were angry people wanting to exact revenge. We came to California and we wanted everything, would take what was ours, anything within reach. And I decided that little Toph and I, he with his backward hat and long hair, living together in our little house in Berkeley, would be world-destroyers. We inherited each other and, we felt, a responsibility to reinvent everything, to scoff and re-create and drive fast while singing loudly and pounding the windows. It was a hopeless sort of exhilaration, a kind of arrogance born of fatalism, I guess, of the feeling that if you could lose a couple of parents in a month, then basically anything could happen, at any time -- all bullets bear your name, all cars are there to crush you, any balcony could give way; more disaster seemed only logical. And then, as in Dorothy's dream, all these people I grew up with were there, too, some of them orphans also, most but not all of us believing that what we had been given was extraordinary, that it was time to tear or break down, ruin, remake, take and devour. This was San Francisco, you know, and everyone had some dumb idea -- I mean, wicca? -- and no one there would tell you yours was doomed. Thus the public nudity, and this ridiculous magazine, and the Real World tryout, all this need, most of it disguised by sneering, but all driven by a hyper-awareness of this window, I guess, a few years when your muscles are taut, coiled up and vibrating. But what to do with the energy? I mean, when we drive, Toph and I, and we drive past people, standing on top of all these hills, part of me wants to stop the car and turn up the radio and have us all dance in formation, and part of me wants to run them all over.""",,Dave Eggers,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327714834l/4953.jpg,3.68,4953,Dave Eggers,3.68,375725784,9.78E+12,eng,485,157572,8463,2/13/2001,Vintage,
A Little Princess,1820,"Sara Crewe, an exceptionally intelligent and imaginative student at Miss Minchin's Select Seminary for Young Ladies, is devastated when her adored, indulgent father dies. Now penniless and banished to a room in the attic, Sara is demeaned, abused, and forced to work as a servant. How this resourceful girl's fortunes change again is at the center of A Little Princess, one of the best-loved stories in all of children's literature. This unique and fully annotated edition appends excerpts from Frances Hodgson Burnett's original 1888 novella Sara Crewe and the stage play that preceded the novel, as well as an early story, ""Behind the White Brick,"" allowing readers to see how A Little Princess evolved. In his delightful introduction, U. C. Knoepflmacher considers the fairy-tale allusions and literary touchstones that place the book among the major works of Victorian literature, and shows it to be an exceptionally rich and resonant novel.",,Frances Hodgson Burnett,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327868556l/3008.jpg,4.2,3008,Frances Hodgson Burnett/Nancy Bond,4.2,142437018,9.78E+12,eng,242,238192,4392,2/26/2002,Penguin Books,
A Long Way Down,1927,"In his eagerly awaited fourth novel, New York Times-bestselling author Nick Hornby mines the hearts and psyches of four lost souls who connect just when they've reached the end of the line. Meet Martin, JJ, Jess, and Maureen. Four people who come together on New Year's Eve: a former TV talk show host, a musician, a teenage girl, and a mother. Three are British, one is American. They encounter one another on the roof of Topper's House, a London destination famous as the last stop for those ready to end their lives. In four distinct and riveting first-person voices, Nick Hornby tells a story of four individuals confronting the limits of choice, circumstance, and their own mortality. This is a tale of connections made and missed, punishing regrets, and the grace of second chances. Intense, hilarious, provocative, and moving, A Long Way Down is a novel about suicide that is, surprisingly, full of life. What's your jumping-off point? MaureenWhy is it the biggest sin of all? All your life you're told that you'll be going to this marvelous place when you pass on. And the one thing you can do to get you there a bit quicker is something that stops you getting there at all. Oh, I can see that it's a kind of queue-jumping. But if someone jumps the queue at the post office, people tut. Or sometimes they say ""Excuse me, I was here first."" They don't say ""You will be consumed by hellfire for all eternity."" That would be a bit strong. MartinI'd spent the previous couple of months looking up suicides on the Internet, just out of curiosity. And nearly every single time, the coroner says the same thing: ""He took his own life while the balance of his mind was disturbed."" And then you read the story about the poor bastard: His wife was sleeping with his best friend, he'd lost his job, his daughter had been killed in a road accident some months before . . . Hello, Mr. Coroner? I'm sorry, but there's no disturbed mental balance here, my friend. I'd say he got it just right. JessI was at a party downstairs. It was a shit party, full of all these ancient crusties sitting on the floor drinking cider and smoking huge spliffs and listening to weirdo space-out reggae. At midnight, one of them clapped sarcastically, and a couple of others laughed, and that was it-Happy New Year to you, too. You could have turned up to that party as the happiest person in London, and you'd still have wanted to jump off the roof by five past twelve. And I wasn't the happiest person in London anyway. Obviously. JJNew Year's Eve was a night for sentimental losers. It was my own stupid fault. Of course there'd be a low-rent crowd up there. I should have picked a classier date-like March 28, when Virginia Woolf took her walk into the river, or November 25 (Nick Drake). If anybody had been on the roof on either of those nights, the chances are they would have been like-minded souls, rather than hopeless f*ck-ups who had somehow persuaded themselves that the end of a calendar year is in any way significant.",,Nick Hornby,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1467861525l/10073._SX318_.jpg,3.42,10073,Nick Hornby,3.42,1594481938,9.78E+12,eng,368,65202,3943,05-02-2006,Riverhead Books,
A Midsummer Night's Dream,1700,"Shakespeare's intertwined love polygons begin to get complicated from the start--Demetrius and Lysander both want Hermia but she only has eyes for Lysander. Bad news is, Hermia's father wants Demetrius for a son-in-law. On the outside is Helena, whose unreturned love burns hot for Demetrius. Hermia and Lysander plan to flee from the city under cover of darkness but are pursued by an enraged Demetrius (who is himself pursued by an enraptured Helena). In the forest, unbeknownst to the mortals, Oberon and Titania (King and Queen of the faeries) are having a spat over a servant boy. The plot twists up when Oberon's head mischief-maker, Puck, runs loose with a flower which causes people to fall in love with the first thing they see upon waking. Throw in a group of labourers preparing a play for the Duke's wedding (one of whom is given a donkey's head and Titania for a lover by Puck) and the complications become fantastically funny.",,William Shakespeare,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327874534l/1622.jpg,3.94,7009,William Shakespeare,3.94,451526961,9.78E+12,eng,162,2167,101,05-01-1998,Signet Book,
